year,month,housing_units,time_c,housing_units_pred,deviations,detrend_deseas_data
1978.0,1.0,48.0,-155.5,48.862824979677306,-0.8628249796773062,52.53717502032271
1978.0,2.0,48.3,-154.5,48.01587405711822,0.2841259428817793,53.68412594288179
1978.0,3.0,55.3,-153.5,53.14718400412435,2.152815995875649,55.55281599587566
1978.0,4.0,59.0,-152.5,53.226320038087,5.773679961912997,59.17367996191301
1978.0,5.0,64.4,-151.5,55.811977811180085,8.58802218881992,61.98802218881993
1978.0,6.0,64.0,-150.5,59.83893993209926,4.161060067900742,57.561060067900755
1978.0,7.0,65.4,-149.5,57.3485107486706,8.051489251329407,61.45148925132942
1978.0,8.0,70.4,-148.5,61.29069026089412,9.109309739105889,62.5093097391059
1978.0,9.0,74.5,-147.5,58.73504368616113,15.764956313838873,69.16495631383889
1978.0,10.0,75.0,-146.5,60.4707014592542,14.529298540745799,67.9292985407458
1978.0,11.0,61.5,-145.5,55.31722879756469,6.182771202435312,59.582771202435325
1978.0,12.0,66.3,-144.5,62.37679961413604,3.9232003858639573,57.32320038586397
1979.0,1.0,55.5,-143.5,48.63854434375086,6.8614556562491416,60.261455656249154
1979.0,2.0,55.2,-142.5,47.79159342119177,7.408406578808233,60.808406578808246
1979.0,3.0,62.6,-141.5,52.9229033681979,9.677096631802101,63.077096631802114
1979.0,4.0,61.3,-140.5,53.002039402160555,8.297960597839442,61.697960597839455
1979.0,5.0,61.7,-139.5,55.58769717525364,6.112302824746365,59.51230282474638
1979.0,6.0,64.9,-138.5,59.61465929617281,5.285340703827195,58.68534070382721
1979.0,7.0,62.0,-137.5,57.12423011274416,4.875769887255842,58.275769887255855
1979.0,8.0,67.5,-136.5,61.06640962496767,6.433590375032331,59.833590375032344
1979.0,9.0,70.1,-135.5,58.51076305023468,11.589236949765315,64.98923694976533
1979.0,10.0,68.7,-134.5,60.24642082332776,8.453579176672243,61.853579176672255
1979.0,11.0,61.9,-133.5,55.09294816163824,6.807051838361758,60.20705183836177
1979.0,12.0,70.4,-132.5,62.15251897820959,8.247481021790414,61.647481021790426
1980.0,1.0,54.7,-131.5,48.41426370782441,6.285736292175592,59.685736292175605
1980.0,2.0,61.1,-130.5,47.56731278526534,13.532687214734665,66.93268721473467
1980.0,3.0,59.8,-129.5,52.69862273227145,7.1013772677285445,60.50137726772856
1980.0,4.0,61.6,-128.5,52.77775876623411,8.822241233765894,62.22224123376591
1980.0,5.0,56.7,-127.5,55.3634165393272,1.3365834606728058,54.73658346067282
1980.0,6.0,61.5,-126.5,59.39037866024636,2.1096213397536374,55.50962133975365
1980.0,7.0,58.5,-125.5,56.89994947681771,1.60005052318229,55.0000505231823
1980.0,8.0,57.5,-124.5,60.84212898904123,-3.3421289890412282,50.057871010958785
1980.0,9.0,53.2,-123.5,58.28648241430823,-5.086482414308229,48.313517585691784
1980.0,10.0,53.2,-122.5,60.02214018740131,-6.82214018740131,46.5778598125987
1980.0,11.0,53.1,-121.5,54.8686675257118,-1.7686675257117983,51.631332474288214
1980.0,12.0,65.1,-120.5,61.928238342283144,3.17176165771685,56.57176165771686
1981.0,1.0,44.2,-119.5,48.18998307189796,-3.98998307189796,49.41001692810205
1981.0,2.0,45.2,-118.5,47.34303214933889,-2.143032149338886,51.25696785066113
1981.0,3.0,51.7,-117.5,52.474342096345005,-0.7743420963450021,52.62565790365501
1981.0,4.0,52.1,-116.5,52.55347813030766,-0.4534781303076585,52.946521869692354
1981.0,5.0,48.9,-115.5,55.13913590340075,-6.239135903400751,47.16086409659926
1981.0,6.0,56.1,-114.5,59.16609802431992,-3.0660980243199205,50.33390197568009
1981.0,7.0,56.0,-113.5,56.67566884089126,-0.6756688408912623,52.72433115910875
1981.0,8.0,51.4,-112.5,60.61784835311478,-9.217848353114782,44.18215164688523
1981.0,9.0,56.9,-111.5,58.06220177838179,-1.1622017783817924,52.23779822161822
1981.0,10.0,59.0,-110.5,59.797859551474865,-0.7978595514748648,52.60214044852515
1981.0,11.0,50.2,-109.5,54.64438688978535,-4.444386889785349,48.955613110214664
1981.0,12.0,54.6,-108.5,61.703957706356704,-7.103957706356702,46.29604229364331
1982.0,1.0,38.1,-107.5,47.965702435971515,-9.865702435971514,43.5342975640285
1982.0,2.0,33.4,-106.5,47.11875151341244,-13.718751513412442,39.68124848658757
1982.0,3.0,41.2,-105.5,52.25006146041857,-11.050061460418569,42.349938539581444
1982.0,4.0,40.9,-104.5,52.329197494381226,-11.429197494381228,41.970802505618785
1982.0,5.0,48.2,-103.5,54.9148552674743,-6.714855267474299,46.685144732525714
1982.0,6.0,45.8,-102.5,58.941817388393474,-13.141817388393477,40.258182611606536
1982.0,7.0,42.5,-101.5,56.45138820496482,-13.951388204964822,39.44861179503519
1982.0,8.0,50.0,-100.5,60.39356771718833,-10.393567717188333,43.00643228281168
1982.0,9.0,44.6,-99.5,57.83792114245534,-13.237921142455342,40.16207885754467
1982.0,10.0,50.0,-98.5,59.573578915548424,-9.573578915548424,43.82642108445159
1982.0,11.0,47.7,-97.5,54.420106253858904,-6.720106253858901,46.67989374614111
1982.0,12.0,56.3,-96.5,61.479677070430256,-5.179677070430259,48.220322929569754
1983.0,1.0,43.6,-95.5,47.74142180004508,-4.14142180004508,49.25857819995493
1983.0,2.0,41.6,-94.5,46.89447087748599,-5.294470877485992,48.10552912251402
1983.0,3.0,49.4,-93.5,52.025780824492124,-2.625780824492125,50.77421917550789
1983.0,4.0,50.9,-92.5,52.10491685845478,-1.20491685845478,52.19508314154523
1983.0,5.0,60.2,-91.5,54.69057463154786,5.509425368452142,58.909425368452155
1983.0,6.0,65.3,-90.5,58.717536752467026,6.582463247532971,59.98246324753298
1983.0,7.0,64.1,-89.5,56.227107569038374,7.87289243096162,61.27289243096163
1983.0,8.0,85.1,-88.5,60.16928708126189,24.930712918738102,78.33071291873812
1983.0,9.0,68.9,-87.5,57.613640506528895,11.28635949347111,64.68635949347112
1983.0,10.0,81.8,-86.5,59.349298279621976,22.45070172037802,75.85070172037803
1983.0,11.0,63.5,-85.5,54.195825617932464,9.304174382067536,62.70417438206755
1983.0,12.0,71.5,-84.5,61.25539643450381,10.244603565496192,63.644603565496205
1984.0,1.0,60.4,-83.5,47.517141164118634,12.882858835881365,66.28285883588137
1984.0,2.0,59.1,-82.5,46.670190241559546,12.429809758440456,65.82980975844046
1984.0,3.0,67.8,-81.5,51.801500188565676,15.998499811434321,69.39849981143433
1984.0,4.0,68.0,-80.5,51.88063622252833,16.11936377747167,69.51936377747168
1984.0,5.0,75.5,-79.5,54.46629399562141,21.033706004378587,74.43370600437859
1984.0,6.0,84.8,-78.5,58.493256116540586,26.30674388345941,79.70674388345942
1984.0,7.0,77.2,-77.5,56.002826933111926,21.197173066888077,74.59717306688809
1984.0,8.0,75.2,-76.5,59.945006445335444,15.254993554664559,68.65499355466457
1984.0,9.0,75.8,-75.5,57.389359870602455,18.410640129397542,71.81064012939756
1984.0,10.0,81.3,-74.5,59.12501764369553,22.17498235630447,75.57498235630447
1984.0,11.0,66.0,-73.5,53.971544982006016,12.028455017993984,65.428455017994
1984.0,12.0,75.5,-72.5,61.03111579857737,14.468884201422632,67.86888420142265
1985.0,1.0,59.3,-71.5,47.292860528192186,12.007139471807811,65.40713947180782
1985.0,2.0,63.9,-70.5,46.4459096056331,17.4540903943669,70.85409039436692
1985.0,3.0,60.8,-69.5,51.57721955263923,9.222780447360769,62.62278044736078
1985.0,4.0,61.0,-68.5,51.65635558660188,9.343644413398117,62.74364441339813
1985.0,5.0,64.1,-67.5,54.242013359694965,9.857986640305029,63.25798664030504
1985.0,6.0,82.9,-66.5,58.26897548061414,24.631024519385868,78.03102451938588
1985.0,7.0,70.3,-65.5,55.778546297185486,14.521453702814512,67.92145370281452
1985.0,8.0,74.7,-64.5,59.720725809409,14.979274190591006,68.37927419059102
1985.0,9.0,73.5,-63.5,57.16507923467601,16.334920765323993,69.734920765324
1985.0,10.0,61.4,-62.5,58.90073700776909,2.4992629922309106,55.89926299223092
1985.0,11.0,64.6,-61.5,53.74726434607957,10.852735653920426,64.25273565392044
1985.0,12.0,75.9,-60.5,60.80683516265092,15.093164837349086,68.4931648373491
1986.0,1.0,56.3,-59.5,47.06857989226574,9.231420107734259,62.63142010773427
1986.0,2.0,50.9,-58.5,46.22162896970665,4.6783710302933486,58.07837103029336
1986.0,3.0,60.2,-57.5,51.35293891671278,8.847061083287223,62.247061083287235
1986.0,4.0,62.3,-56.5,51.432074950675435,10.867925049324562,64.26792504932457
1986.0,5.0,74.3,-55.5,54.017732723768525,20.282267276231472,73.68226727623149
1986.0,6.0,66.3,-54.5,58.04469484468769,8.255305155312307,61.65530515531232
1986.0,7.0,66.0,-53.5,55.55426566125904,10.445734338740962,63.845734338740975
1986.0,8.0,66.0,-52.5,59.496445173482556,6.503554826517444,59.90355482651746
1986.0,9.0,64.1,-51.5,56.94079859874956,7.159201401250435,60.55920140125045
1986.0,10.0,67.9,-50.5,58.67645637184264,9.223543628157366,62.62354362815738
1986.0,11.0,57.9,-49.5,53.52298371015313,4.377016289846871,57.777016289846884
1986.0,12.0,71.6,-48.5,60.58255452672447,11.017445473275522,64.41744547327554
1987.0,1.0,56.1,-47.5,46.84429925633929,9.25570074366071,62.655700743660724
1987.0,2.0,47.4,-46.5,45.99734833378022,1.402651666219782,54.802651666219795
1987.0,3.0,48.9,-45.5,51.12865828078633,-2.228658280786334,51.17134171921368
1987.0,4.0,53.8,-44.5,51.20779431474899,2.5922056852510096,55.99220568525102
1987.0,5.0,55.6,-43.5,53.79345208784208,1.8065479121579244,55.20654791215794
1987.0,6.0,59.8,-42.5,57.82041420876125,1.9795857912387476,55.37958579123876
1987.0,7.0,59.6,-41.5,55.32998502533259,4.270014974667411,57.670014974667424
1987.0,8.0,58.2,-40.5,59.27216453755611,-1.0721645375561053,52.32783546244391
1987.0,9.0,58.2,-39.5,56.71651796282312,1.4834820371768842,54.8834820371769
1987.0,10.0,55.6,-38.5,58.45217573591619,-2.852175735916191,50.54782426408382
1987.0,11.0,49.3,-37.5,53.29870307422668,-3.9987030742266825,49.40129692577333
1987.0,12.0,57.9,-36.5,60.35827389079803,-2.458273890798033,50.94172610920198
1988.0,1.0,44.2,-35.5,46.62001862041284,-2.42001862041284,50.97998137958717
1988.0,2.0,44.6,-34.5,45.77306769785377,-1.1730676978537673,52.226932302146245
1988.0,3.0,50.8,-33.5,50.9043776448599,-0.10437764485990186,53.29562235514011
1988.0,4.0,48.3,-32.5,50.98351367882254,-2.6835136788225427,50.71648632117747
1988.0,5.0,45.0,-31.5,53.56917145191563,-8.56917145191563,44.830828548084384
1988.0,6.0,50.8,-30.5,57.5961335728348,-6.796133572834805,46.60386642716521
1988.0,7.0,54.8,-29.5,55.10570438940615,-0.3057043894061522,53.09429561059386
1988.0,8.0,53.8,-28.5,59.04788390162966,-5.247883901629663,48.15211609837035
1988.0,9.0,51.1,-27.5,56.49223732689667,-5.3922373268966695,48.00776267310334
1988.0,10.0,50.5,-26.5,58.22789509998975,-7.727895099989752,45.67210490001026
1988.0,11.0,48.0,-25.5,53.07442243830023,-5.074422438300232,48.32557756169978
1988.0,12.0,52.8,-24.5,60.133993254871584,-7.3339932548715865,46.066006745128426
1989.0,1.0,46.2,-23.5,46.39573798448641,-0.19573798448640645,53.204262015513606
1989.0,2.0,39.0,-22.5,45.54878706192732,-6.548787061927321,46.85121293807269
1989.0,3.0,43.1,-21.5,50.68009700893345,-7.58009700893345,45.81990299106656
1989.0,4.0,46.0,-20.5,50.759233042896106,-4.759233042896106,48.64076695710391
1989.0,5.0,46.6,-19.5,53.34489081598918,-6.74489081598918,46.65510918401083
1989.0,6.0,47.8,-18.5,57.371852936908354,-9.571852936908357,43.828147063091656
1989.0,7.0,45.2,-17.5,54.8814237534797,-9.681423753479699,43.718576246520314
1989.0,8.0,51.9,-16.5,58.82360326570322,-6.923603265703221,46.47639673429679
1989.0,9.0,47.4,-15.5,56.26795669097022,-8.867956690970225,44.53204330902979
1989.0,10.0,46.9,-14.5,58.003614464063304,-11.103614464063305,42.29638553593671
1989.0,11.0,45.9,-13.5,52.85014180237379,-6.950141802373793,46.44985819762622
1989.0,12.0,43.3,-12.5,59.909712618945136,-16.60971261894514,36.790287381054874
1990.0,1.0,38.2,-11.5,46.17145734855996,-7.971457348559959,45.428542651440054
1990.0,2.0,34.6,-10.5,45.32450642600087,-10.724506426000872,42.67549357399914
1990.0,3.0,47.4,-9.5,50.455816373007,-3.055816373007005,50.34418362699301
1990.0,4.0,38.6,-8.5,50.53495240696966,-11.934952406969657,41.465047593030356
1990.0,5.0,41.8,-7.5,53.12061018006274,-11.320610180062744,42.07938981993727
1990.0,6.0,45.9,-6.5,57.147572300981906,-11.247572300981908,42.152427699018105
1990.0,7.0,42.5,-5.5,54.657143117553254,-12.157143117553254,41.24285688244676
1990.0,8.0,51.1,-4.5,58.59932262977677,-7.4993226297767706,45.90067737022324
1990.0,9.0,48.5,-3.5,56.04367605504378,-7.5436760550437825,45.85632394495623
1990.0,10.0,42.6,-2.5,57.779333828136856,-15.179333828136855,38.22066617186316
1990.0,11.0,39.3,-1.5,52.62586116644734,-13.325861166447346,40.07413883355267
1990.0,12.0,40.1,-0.5,59.685431983018695,-19.585431983018694,33.81456801698132
1991.0,1.0,30.4,0.5,45.947176712633514,-15.547176712633515,37.8528232873665
1991.0,2.0,31.0,1.5,45.100225790074425,-14.100225790074425,39.29977420992559
1991.0,3.0,36.0,2.5,50.231535737080556,-14.231535737080556,39.16846426291946
1991.0,4.0,35.2,3.5,50.31067177104321,-15.110671771043208,38.289328228956805
1991.0,5.0,32.5,4.5,52.89632954413629,-20.396329544136293,33.00367045586372
1991.0,6.0,43.6,5.5,56.923291665055466,-13.323291665055464,40.07670833494455
1991.0,7.0,36.7,6.5,54.43286248162681,-17.73286248162681,35.6671375183732
1991.0,8.0,40.6,7.5,58.375041993850324,-17.775041993850323,35.62495800614969
1991.0,9.0,41.3,8.5,55.819395419117335,-14.519395419117338,38.880604580882675
1991.0,10.0,39.3,9.5,57.555053192210416,-18.25505319221042,35.144946807789594
1991.0,11.0,31.9,10.5,52.401580530520896,-20.501580530520897,32.898419469479116
1991.0,12.0,40.4,11.5,59.46115134709225,-19.06115134709225,34.338848652907764
1992.0,1.0,27.7,12.5,45.722896076707066,-18.022896076707067,35.37710392329295
1992.0,2.0,33.3,13.5,44.87594515414798,-11.57594515414798,41.82405484585203
1992.0,3.0,35.7,14.5,50.00725510115411,-14.307255101154105,39.09274489884591
1992.0,4.0,33.1,15.5,50.08639113511676,-16.98639113511676,36.41360886488325
1992.0,5.0,37.5,16.5,52.672048908209845,-15.172048908209845,38.22795109179017
1992.0,6.0,43.8,17.5,56.69901102912902,-12.89901102912902,40.50098897087099
1992.0,7.0,42.5,18.5,54.208581845700365,-11.708581845700365,41.69141815429965
1992.0,8.0,44.1,19.5,58.150761357923884,-14.050761357923882,39.34923864207613
1992.0,9.0,40.7,20.5,55.59511478319089,-14.895114783190884,38.50488521680913
1992.0,10.0,43.2,21.5,57.33077255628397,-14.130772556283965,39.26922744371605
1992.0,11.0,36.5,22.5,52.177299894594455,-15.677299894594455,37.72270010540556
1992.0,12.0,44.2,23.5,59.2368707111658,-15.036870711165797,38.363129288834216
1993.0,1.0,35.4,24.5,45.49861544078062,-10.09861544078062,43.30138455921939
1993.0,2.0,34.4,25.5,44.651664518221544,-10.251664518221546,43.14833548177847
1993.0,3.0,39.7,26.5,49.78297446522766,-10.082974465227657,43.317025534772355
1993.0,4.0,36.3,27.5,49.862110499190315,-13.562110499190318,39.837889500809695
1993.0,5.0,42.2,28.5,52.447768272283405,-10.247768272283402,43.15223172771661
1993.0,6.0,42.4,29.5,56.47473039320257,-14.074730393202572,39.32526960679744
1993.0,7.0,42.4,30.5,53.98430120977392,-11.584301209773919,41.815698790226094
1993.0,8.0,50.2,31.5,57.926480721997436,-7.726480721997433,45.67351927800258
1993.0,9.0,46.2,32.5,55.370834147264446,-9.170834147264443,44.22916585273557
1993.0,10.0,47.2,33.5,57.10649192035752,-9.906491920357517,43.493508079642496
1993.0,11.0,43.7,34.5,51.95301925866801,-8.253019258668004,45.14698074133201
1993.0,12.0,51.8,35.5,59.01259007523936,-7.212590075239362,46.18740992476065
1994.0,1.0,38.0,36.5,45.27433480485417,-7.2743348048541705,46.12566519514584
1994.0,2.0,38.1,37.5,44.427383882295096,-6.327383882295095,47.07261611770492
1994.0,3.0,42.7,38.5,49.55869382930123,-6.858693829301224,46.54130617069879
1994.0,4.0,46.5,39.5,49.63782986326387,-3.1378298632638675,50.262170136736145
1994.0,5.0,48.5,40.5,52.22348763635696,-3.723487636356957,49.676512363643056
1994.0,6.0,51.0,41.5,56.25044975727613,-5.2504497572761295,48.14955024272388
1994.0,7.0,45.0,42.5,53.76002057384747,-8.76002057384747,44.63997942615254
1994.0,8.0,51.4,43.5,57.70220008607099,-6.3022000860709895,47.09779991392902
1994.0,9.0,55.5,44.5,55.146553511338,0.35344648866200146,53.753446488662014
1994.0,10.0,56.6,45.5,56.88221128443108,-0.282211284431078,53.117788715568935
1994.0,11.0,50.6,46.5,51.72873862274156,-1.1287386227415581,52.271261377258455
1994.0,12.0,56.9,47.5,58.78830943931291,-1.8883094393129127,51.5116905606871
1995.0,1.0,45.0,48.5,45.05005416892774,-0.05005416892773695,53.349945831072276
1995.0,2.0,38.7,49.5,44.20310324636865,-5.503103246368646,47.89689675363137
1995.0,3.0,46.6,50.5,49.33441319337478,-2.7344131933747775,50.665586806625235
1995.0,4.0,44.5,51.5,49.413549227337434,-4.913549227337434,48.48645077266258
1995.0,5.0,46.9,52.5,51.99920700043051,-5.099207000430511,48.3007929995695
1995.0,6.0,48.1,53.5,56.02616912134968,-7.92616912134968,45.47383087865033
1995.0,7.0,48.9,54.5,53.53573993792103,-4.635739937921031,48.76426006207898
1995.0,8.0,53.5,55.5,57.47791945014454,-3.9779194501445403,49.42208054985547
1995.0,9.0,49.7,56.5,54.92227287541155,-5.222272875411548,48.177727124588465
1995.0,10.0,56.2,57.5,56.65793064850463,-0.45793064850462883,52.942069351495384
1995.0,11.0,51.1,58.5,51.50445798681512,-0.40445798681511747,52.995542013184895
1995.0,12.0,52.0,59.5,58.56402880338646,-6.5640288033864636,46.83597119661355
1996.0,1.0,43.9,60.5,44.82577353300129,-0.9257735330012906,52.47422646699872
1996.0,2.0,41.9,61.5,43.9788226104422,-2.0788226104422023,51.32117738955781
1996.0,3.0,49.7,62.5,49.11013255744833,0.5898674425516717,53.989867442551684
1996.0,4.0,45.9,63.5,49.189268591410986,-3.2892685914109876,50.110731408589025
1996.0,5.0,53.3,64.5,51.77492636450407,1.5250736354959287,54.92507363549594
1996.0,6.0,56.6,65.5,55.801888485423234,0.7981115145767674,54.19811151457678
